WordList,
Apple, Redfruit with iphone
Banana, Longest fruit
Mirror, if you look at me. you can see yourself
Coffee, a dark brown powder with a strong flavour and smell that is made by crushing coffee beans
Sad, when you crying or some badthings happen to you
hakdong, who made this game
note, when you need something to write
book, there a lots of knowledge with papers
wallet, you can keep your money with this
monitor, input code and it will show up code to graphic
confidently, It make your feel that what ever you can do
